ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1369,1368,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
1370,1369,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
1371,1370,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
1372,1371,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
1373,1372,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
1374,1373,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
1375,1374,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
1376,1375,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
1377,1376,U,0,A, , ,75 Park Place New York Ny, ,75 Park Place New York Ny,40.71395,-74.010683,75 Park Place New York Ny,"75 Park Pl, New York, NY 10007",Bing Maps,address
1378,1377,U,0,A, , ,75 Park Place New York Ny, ,75 Park Place New York Ny,40.71395,-74.010683,75 Park Place New York Ny,"75 Park Pl, New York, NY 10007",Bing Maps,address
1379,1378,T,75,A,L,"60 21 ASTORIA BLVD, 4",75-20 Astoria Blvd,4,75-20 Astoria Blvd,40.76572,-73.892654,75-20 Astoria Blvd,"75-20 Astoria Blvd, East Elmhurst, NY 11370",Bing Maps,address
1380,1379,M,86,A,L,"233 SCHERMERHORN ST, 3",233 Schermerhorn Street,3,233 Schermerhorn Street,40.688565,-73.98486,233 Schermerhorn Street,"233 Schermerhorn St, Brooklyn, NY 11201",Bing Maps,address
1381,1380,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
1382,1381,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
1383,1382,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1384,1383,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1385,1384,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1386,1385,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1387,1386,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1388,1387,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
